Compound_ID,Molecular_Weight,LogP,HBA,HBD,TPSA,Rotatable_Bonds,Bioactivity
CMP1,374.83570765056163,3.9261775475316414,7,0,71.3420711779032,8,Active
CMP2,343.0867849414408,4.9094166404701305,1,4,102.4975283829637,8,Active
CMP3,382.3844269050346,1.6014324261808588,8,3,62.080716417509294,7,Inactive
CMP4,426.15149282040124,3.562969236690571,3,3,59.016159866994926,4,Inactive
CMP5,338.2923312638332,2.349357430878173,6,4,65.34512955635935,2,Active
CMP6,338.293152152541,2.5128746162353037,9,3,55.93342783482575,3,Inactive
CMP7,428.9606407753696,2.407606075761131,6,3,77.4534063198959,6,Inactive
CMP8,388.37173645764545,2.136009230320184,9,3,107.49356916939121,5,Active
CMP9,326.5262807032524,3.048521627944827,7,5,81.46158546232058,8,Active
CMP10,377.1280021792982,2.1690498835889622,9,1,69.95292995747425,6,Inactive
CMP11,326.8291153593769,3.270456825779839,2,4,69.16377462168911,6,Inactive
CMP12,326.71351232148714,2.949761890550863,8,3,43.73618382606686,1,Inactive
CMP13,362.0981135783017,2.7610519531335904,8,5,92.66219554294318,4,Active
CMP14,254.3359877671101,2.092436337958402,2,4,73.44325605974396,5,Active
CMP15,263.75410837434833,2.4232286694316674,4,2,71.39040172818748,11,Inactive
CMP16,321.88562353795135,3.755391225825756,7,2,138.86215135689721,3,Active
CMP17,299.3584439832788,3.5009171876243808,4,3,80.97505816731372,9,Active
CMP18,365.71236662976366,2.022444755201449,4,5,59.964178998096315,1,Inactive
CMP19,304.5987962239395,3.099332305429226,6,5,66.47284807588913,6,Inactive
CMP20,279.3848149332354,3.751387123371789,6,4,97.9689141839351,6,Active
CMP21,423.2824384460777,1.3305947188786282,3,4,77.26540821075528,10,Active
CMP22,338.71118497567323,3.543360192379935,9,5,46.234440433652665,5,Inactive
CMP23,353.3764102343962,2.3373762410541534,2,4,93.38457869150407,5,Active
CMP24,278.76259068932717,3.5705986685931594,6,5,61.63711828922012,10,Active
CMP25,322.78086377374086,2.236740843457483,7,1,112.4659555243509,5,Inactive
CMP26,355.5461294854933,1.195117899335481,9,5,96.60096131429297,6,Inactive
CMP27,292.45032112888487,1.3724575621168373,3,2,66.05356208682498,8,Active
CMP28,368.7849009172836,3.048084946661382,3,4,100.62032723470226,2,Active
CMP29,319.9680655040597,3.2597225017214817,7,5,76.35711021054807,6,Active
CMP30,335.41531251033615,2.095683374895591,4,5,92.05547350244439,1,Inactive
CMP31,319.91466938853017,3.638592458777374,8,4,84.6946563458895,4,Active
CMP32,442.6139092254469,1.3384799377310401,7,1,58.07286690018253,10,Active
CMP33,349.3251387631033,2.9339202013526835,5,1,62.12900335365076,3,Inactive
CMP34,297.11445355220496,1.7889838002375433,7,4,95.59921635162323,9,Inactive
CMP35,391.12724560515943,2.348163892197841,3,0,68.30449335786918,3,Active
CMP36,288.95781750144886,3.047398671316414,2,4,66.92703073516006,6,Inactive
CMP37,360.4431797502378,2.1395866347160477,6,4,55.89754841301294,1,Inactive
CMP38,252.01649380601123,2.6154444557701746,2,1,83.47198131186923,6,Active
CMP39,283.59069755507846,4.0062928092144405,3,1,116.25049838486291,4,Inactive
CMP40,359.8430617934562,2.423108130476851,6,4,53.64934171491454,8,Inactive
CMP41,386.92332899977055,3.835692112065142,5,4,75.48438913345517,11,Active
CMP42,358.56841405949854,1.870293145342382,8,4,103.24441110830858,9,Inactive
CMP43,344.217585880588,3.529804177915283,9,1,73.40717217508569,4,Active
CMP44,334.9448152205356,4.4415686206579,3,4,84.04743592499467,10,Active
CMP45,276.07390048162864,0.5283554998727107,3,4,53.75212943706241,10,Inactive
CMP46,314.00778958026456,2.203104744529523,3,3,83.56614194415297,6,Inactive
CMP47,326.9680614520106,3.57707212718054,6,0,71.25711469990902,1,Inactive
CMP48,402.8561113109458,2.7969546139570074,1,2,94.71459991359725,4,Active
CMP49,367.18091447842306,3.371145873371309,7,0,98.74772103129501,7,Inactive
CMP50,261.8479922318633,2.3960148132841796,1,3,126.79127284037227,1,Active
CMP51,366.20419846973977,3.0865897874729,5,2,86.59266346427151,8,Inactive
CMP52,330.74588597918415,2.8443227646079206,8,4,81.51592633164333,10,Inactive
CMP53,316.1538999847021,4.167782061659807,4,3,78.88768603154672,11,Inactive
CMP54,380.5838144420434,3.254420843301213,5,4,67.93667414378623,6,Active
CMP55,401.5499761247975,3.337602662075202,4,1,81.76967686923382,5,Inactive
CMP56,396.56400595580993,2.5881230338775327,4,5,69.09197179721941,10,Inactive
CMP57,308.0391238388681,2.5123937759275066,8,3,78.36921952539228,11,Active
CMP58,334.53938120743925,2.567441812180379,2,1,101.3519507121592,9,Active
CMP59,366.5631715701782,3.394452142378297,1,3,54.86914869440717,2,Inactive
CMP60,398.77725635611796,2.579015519179737,3,3,97.7975712225809,5,Inactive
CMP61,326.0412881077355,3.289774856896413,9,1,101.34230134679731,6,Inactive
CMP62,340.71705116680914,5.075400798645439,4,2,72.63862946017842,7,Active
CMP63,294.6832512996986,3.8711247034316925,5,0,32.56290201982811,5,Active
CMP64,290.18966879596644,2.673976467832159,2,4,62.84356025811135,9,Active
CMP65,390.6262911197099,4.201213922163944,4,3,100.93989093122218,1,Active
CMP66,417.8120014285412,2.5919246269784484,2,4,74.54263875402236,7,Inactive
CMP67,346.39949392098333,0.9618754648221461,2,5,55.01395535410178,10,Active
CMP68,400.1766448946012,1.991913689082596,4,1,64.90450157543565,7,Active
CMP69,368.0818012523817,1.1292080789741443,6,4,91.81240053009105,4,Active
CMP70,317.7440122697438,2.6484865159586914,7,1,85.9346713640276,9,Inactive
CMP71,368.0697802754207,3.018418379189552,3,4,70.22135801660612,11,Inactive
CMP72,426.90182832329845,4.676437312275283,3,0,67.66351176370625,5,Active
CMP73,348.2086980445024,3.3269273737641627,6,0,67.16483701912357,4,Active
CMP74,428.23218279070034,2.7808994711911357,3,0,56.55179631002995,7,Inactive
CMP75,219.0127447955128,3.8294055811834893,2,0,107.30751378938884,4,Inactive
